id,subject_name,frequency
4073757-3,Kraftfahrzeug,120
4165441-9,Kraftfahrzeugtechnik,119
4062954-5,Verkehrsplanung,118
4056783-7,Stadtverkehr,86
7714938-5,Autonomes Fahrzeug,83
4151795-7,Elektrofahrzeug,83
4076001-7,Personenkraftwagen,74
4057931-1,Straßenverkehr,73
4048574-2,Raumfahrt,72
4622983-8,Fahrerassistenzsystem,69
4017672-1,Flugzeug,56
4016278-3,Fahrdynamik,56
4062955-7,Verkehrspolitik,55
4052397-4,Schiffbau,48
4062962-4,Verkehrssicherheit,48
4191569-0,Kraftfahrzeugelektronik,47
4177061-4,Raumfahrttechnik,47
4132165-0,Fahrerverhalten,44
4036597-9,Luftverkehr,41
4048579-1,Raumfahrzeug,41
4165423-7,Kraftfahrzeugbau,39
4154782-2,Flugzeugbau,39
4062901-6,Verkehr,37
4036557-8,Luftfahrt,36
4055072-2,Simulation,36
4014238-3,Elektroantrieb,35
4060680-6,Transport,34
4056754-0,Stadtplanung,34
4154760-3,Flugmechanik,34
4123177-6,Fahrzeugantrieb,34
4467581-1,Verkehrsinformation,31
4052368-8,Schienenfahrzeug,30
4052371-8,Schienenverkehr,30
4052385-8,Schiff,28
4187820-6,Verkehrsmittelwahl,28
4187817-6,Verkehrsleitsystem,28
7524499-8,Hybridfahrzeug,28
4116383-7,Schifffahrt,27
4168244-0,Luftfahrttechnik,27
4076473-4,Radfahrerverkehr,27
4062902-8,Verkehrsablauf,27
4062661-1,Verbrennungsmotor,27
4014015-5,Eisenbahn,26
4328094-8,Flugregelung,26
4000589-6,Aerodynamik,26
4008195-3,Brennstoffzelle,26
4136498-3,Satellit,26
7660153-5,Energieeffizienz,25
4431076-6,Triebstrang,25
4125883-6,Alternativkraftstoff,25
4056730-8,Stadtentwicklung,24
4144455-3,Bemannte Raumfahrt,23
4417126-2,Verkehrsentwicklung,23
4016297-7,Fahrrad,22
4148259-1,Computersimulation,22
1024622754,Car-to-Car-Kommunikation,22
4062987-9,Verkehrsverhalten,21
4137152-5,Reifen,21
4016320-9,Fahrzeug,21
4160835-5,Hybridantrieb,21
4027145-6,Instandhaltung,21
4040392-0,Motorrad,20
4025993-6,Hubschrauber,20
4138452-0,Schiffspropeller,20
4153572-8,Fahrsimulator,20
4113432-1,Emissionsverringerung,20
4123857-6,Nutzfahrzeug,20
4121851-6,Verkehrsflugzeug,19
4114528-8,Mathematisches Modell,19
4198196-0,Schiffsrumpf,19
4031830-8,Kombinierter Verkehr,19
4054790-5,Sicherheit,19
4008148-5,Bremse,18
4153580-7,Fahrzeuggetriebe,18
4511937-5,Online-Ressource,18
4017233-8,Finite-Elemente-Methode,17
4154771-8,Flugsicherung,17
4238812-0,Mechatronik,17
4016319-2,Fahrwerk,17
4121208-3,Entwurf,16
4049487-1,Rennwagen,16
4132163-7,Fahrzeugverhalten,16
4187835-8,Verkehrssystem,16
4016284-9,Fahrerloses Transportsystem,16
4062992-2,Verkehrswirtschaft,16
4041457-7,Navigation,16
4154773-1,Flugtriebwerk,16
4141041-5,Abgasemission,16
4056723-0,Stadt,15
4062983-1,Verkehrsunfall,15
4045298-0,Personenverkehr,15
4035165-8,Leichtbau,15
4054184-8,Seeschifffahrt,15
4043664-0,Optimierung,15
4012211-6,Dieselmotor,15
4125909-9,Mensch-Maschine-Kommunikation,14
4049187-0,Reichweite,14
4196491-3,Avionik,14
4144126-6,Batteriefahrzeug,14
4123065-6,Digitalisierung,14
4046235-3,Planung,14
4154784-6,Flugzeugkabine,14
4154752-4,Flughafen,14
4135410-2,Flugzeugaerodynamik,14
4267628-9,Bahnplanung,14
4115746-1,Reparatur,13
4016321-0,Fahrzeugbau,13
4129315-0,Kraftwagen,13
4078569-5,Untergrundbahn,13
4593441-1,Verkehrsmodell,13
4151503-1,Eisenbahnverkehr,13
4032664-0,Kraftfahrzeugabgas,13
4044196-9,Ottomotor,13
4170297-9,Modellierung,13
4017656-3,Flugnavigation,13
4022223-8,Großraumflugzeug,13
4032231-2,Konstruktion,12
1023747006,Batterieaufladung,12
4128278-4,Luftstrahltriebwerk,12
4036563-3,Luftfahrzeugtechnik,12
4137755-2,Straßenfahrzeug,12
4304075-5,Autonomer Roboter,12
4150126-3,Direkteinspritzung,12
4326831-6,Carsharing,12
4127798-3,Kraftfahrzeugmotor,12
4003957-2,Automation,12
4034649-3,Lastkraftwagen,11
4029748-2,Karosserie,11
4193754-5,Maschinelles Lernen,11
4048155-4,Radfahren,11
1061057097,Smart City,11
4196509-7,Flugsicherheit,11
4061644-7,Umweltschutz,11
4781185-7,Navigationssystem,11
4038852-9,Messung,11
4338132-7,Numerisches Modell,11
4027089-0,Innovation,10
4052673-2,Schlepper,10
4026748-9,Individualverkehr,10
4057912-8,Straßennetz,10
4176905-3,Raketentriebwerk,10
4117629-7,Weltraumforschung,10
4052019-5,Schallabstrahlung,10
4061619-8,Umweltbelastung,10
4076489-8,Radweg,10
4153550-9,Fahrgastinformation,10
4121663-5,Sensortechnik,10
4003936-5,Autobahn,10
4126392-3,Karosseriebau,10
4168246-4,Luftfahrzeug,10
4022859-9,Hafen,10
4057472-6,Steuerung,10
4129594-8,Maschinelles Sehen,10
4191911-7,Mobiler Roboter,10
4059827-5,Thermodynamik,10
4334629-7,Containerschifffahrt,10
4204820-5,Kraftstoffeinsparung,10
4032671-8,Kraftfahrzeugelektrik,10
4140901-2,Systemtechnik,10
4760707-5,Funktionssicherheit,10
4054181-2,Seeschiff,10
4010989-6,Dampflokomotive,9
4036587-6,Luftschiff,9
4116455-6,Seehafen,9
4140467-1,Kraftfahrzeugbeleuchtung,9
4026926-7,Informationstechnik,9
4068598-6,Erneuerbare Energien,9
4126904-4,Strukturmechanik,9
4113934-3,Hochgeschwindigkeitszug,9
4322103-8,Unbemanntes Flugzeug,9
4238276-2,Umlaufbahn,9
4261462-4,Robotik,9
4232143-8,Apollo-Programm,9
4134712-2,Regelungssystem,9
4000125-8,Abgasreinigung,9
4153568-6,Fahrradtechnik,9
4113241-5,Containerschiff,9
4193797-1,Rumpfwerk,9
4233933-9,Reiseweg,9
4135101-0,Leuchtdichte,8
4113586-6,Flughafenbetrieb,8
4121041-4,Bordnetz,8
4031177-6,Klimatechnik,8
4006178-4,Betriebsfestigkeit,8
4149458-1,Diagnosesystem,8
4243688-6,Fahrtest,8
4170280-3,Mobilfunk,8
4177447-4,Reglerentwurf,8
4131348-3,Eisbrecher,8
4189940-4,Windkanal,8
4053870-9,Schweißen,8
4034076-4,Lageregelung,8
4026302-2,Hydrodynamik,8
4179589-1,Schiffsnavigation,8
7524983-2,VANET,8
4214157-6,Passive Sicherheit,8
4121905-3,Wasserstoffenergietechnik,8
4189606-3,Weltraum,8
4165435-3,Kraftfahrzeuginnenraum,8
4476597-6,Marsflug,8
4040936-3,Mustererkennung,8
4134157-0,Verkehrsnachfrage,8
4069794-0,CAD,8
4202846-2,Satellitennavigation,8
4077804-6,Stadtgestaltung,8
4274324-2,Computersicherheit,8
4179595-7,Schiffstechnik,8
4054117-4,Seegang,8
4044820-4,Fahrgastschiff,8
4043533-7,Omnibus,7
4443806-0,Effizienzsteigerung,7
4062670-2,Verbundwerkstoff,7
4038662-4,Mensch-Maschine-System,7
4062947-8,Verkehrsmittel,7
4057887-2,Straßenbau,7
4720440-0,Mensch-Maschine-Schnittstelle,7
4032656-1,Kraftfahrer,7
4137374-1,Crash-Test,7
4216130-7,Funknetz,7
4069106-8,Ballungsraum,7
4159220-7,Hauptverkehrsstraße,7
4042803-5,Bahnsteuerung,7
4177083-3,Raumtransporter,7
4314726-4,Raumentwicklung,7
4479200-1,Raumfahrtprogramm,7
4036559-1,Luftverkehrsgesellschaft,7
4187844-9,Verkehrsweg,7
4396978-1,Eingebettetes System,7
4199255-6,Kollisionsschutz,7
4187799-8,Verkehrsaufkommen,7
4442544-2,Wirtschaftsverkehr,7
4014024-6,Eisenbahnbetrieb,7
7547705-1,Klimaschutz,7
4431027-4,Technische Innovation,7
4074381-0,Luftverschmutzung,7
4143713-5,Autonomes System,7
4191598-7,Schiffskollision,7
4172896-8,Ortung,7
4394455-3,Verkehrsvermeidung,7
4051865-6,S-Bahn,7
4336564-4,Automatische Zugsteuerung,7
4216824-7,GPS,7
4059233-9,Technische Sicherheit,7
4052411-5,Schiffsantrieb,6
4014019-2,Eisenbahnbau,6
4187713-5,Vergleich,6
4359141-3,Vernetzung,6
4062953-3,Verkehrsnetz,6
4767762-4,Sicherheitskritisches System,6
4187829-2,Verkehrssignalanlage,6
4314754-9,Fluid-Struktur-Wechselwirkung,6
4016916-9,Festigkeit,6
4138349-7,Satellitenfunk,6
4177306-8,Reduktion,6
4177433-4,Regionalverkehr,6
4128276-0,Triebwerk,6
4052798-0,Schmalspurbahn,6
4187825-5,Verkehrsprognose,6
4128707-1,Eisenbahnnetz,6
4006804-3,Biografie,6
4048597-3,Raumstation,6
4035481-7,Leuchtturm,6
4143247-2,Astronaut,6
4272352-8,Verkehrsstau,6
4014315-6,Elektromotor,6
4154753-6,Flughafenplanung,6
4125467-3,Modulbauweise,6
4048971-1,Regelung,6
4420719-0,Space-shuttle,6
4708139-9,Flugwerk,6
4167366-9,Lenkung,6
4456134-9,Kleinsatellit,6
4480091-5,Vorgehensmodell,6
4022233-0,Großstadt,6
4078859-3,Versuchsplanung,6
4022873-3,Hafenstadt,6
1021591971,Plug-in-Hybrid,6
4225587-9,Straßenplanung,6
4072806-7,Informationssystem,6
4031888-6,Kommunikationstechnik,6
4128130-5,Numerisches Verfahren,6
4198914-4,Aktor,6
4226127-2,Neuronales Netz,6
4062656-8,Verbrennung,6
4690490-6,Assistenzsystem,6
4116525-1,Softwareschnittstelle,6
4176849-8,Radsatz,6
4135658-5,Elektrifizierung,5
4329076-0,Gestaltoptimierung,5
4077423-5,Sicherheitstechnik,5
4162142-6,Interstellarer Raum,5
4068097-6,Zukunft,5
4127501-9,Ethernet,5
4053999-4,Schwingung,5
4115716-3,Reform,5
4160270-5,Hochtemperaturbrennstoffzelle,5
4175165-6,Polyelektrolyt,5
4352434-5,Fahrleistung,5
4176779-2,Radfahrer,5
4197414-1,Fahrstreifenwechsel,5
4690875-4,Hardware-in-the-loop,5
4014722-8,Energiespeicherung,5
4115645-6,Projekt,5
4117347-8,Verkehrsberuhigung,5
4052370-6,Schienenschnellverkehr,5
4179312-2,Schadstoffemission,5
4164812-2,Kommunikationssatellit,5
4026978-4,Ingenieurbau,5
4017688-5,Flugzeugunfall,5
4064784-5,Wasserstoff,5
4177065-1,Raumflugbahn,5
4001183-5,Algorithmus,5
4002851-3,Architektur,5
4168258-0,Luftfrachtverkehr,5
4049040-3,Regionalplanung,5
4076605-6,Regionalentwicklung,5
4013384-9,Dynamik,5
4076573-8,Recycling,5
4444715-2,Flughafenbau,5
4308416-3,Internet,5
4129359-9,Flugleistung,5
4164507-8,Kohlendioxidemission,5
4165422-5,Kraftfahrzeugbatterie,5
4116521-4,Software Engineering,5
4000457-0,Adaptivregelung,5
4194567-0,Automatisierungstechnik,5
4128556-6,Offshorebauwerk,5
4153582-0,Fahrzeugmotor,5
4489165-9,Betriebszustand,5
4078176-8,Technikbewertung,5
4006880-8,Biomechanik,5
4148290-6,Containerterminal,5
4138142-7,Betriebsverhalten,5
4120612-5,Kraftstoffverbrauch,5
4076594-5,Regelungstechnik,5
4016862-1,Fernsteuerung,5
4121428-6,Optimale Kontrolle,5
4019638-0,Gefahrgut,5
4006761-0,Binnenschifffahrt,5
4129739-8,Container,5
4065579-9,Werkstoff,5
7544047-7,Eisenbahnrad,5
4278933-3,Fluggasturbine,5
4136257-3,Wasserfahrzeug,5
1023745712,Stromtankstelle,5
4129465-8,Bahnhof,5
4180569-0,Schwingungsverhalten,5
4126945-7,Systementwicklung,5
4185935-2,Transporttechnik,5
4145063-2,Betriebssicherheit,5
4001586-5,Aluminiumlegierung,5
4219214-6,Bahnhofsarchitektur,5
4508380-0,Elektrofahrrad,5
4476438-8,Wing-in-ground-Fahrzeug,5
4074024-9,Laserschweißen,5
4271536-2,Mehrwertdienst,5
4554074-3,Parksuchverkehr,5
4000100-3,Abfallbeseitigung,5
4173917-6,Personennahverkehr,4
4158155-6,Grenzverkehr,4
4014038-6,Eisenbahnlinie,4
4012210-4,Diesellokomotive,4
4191798-4,Seenotrettung,4
4059205-4,Technik,4
4176761-5,Rad,4
4187847-4,Verkehrswissenschaft,4
4329079-6,Fertigungstechnik,4
4364048-5,Reederei,4
4189328-1,Wechselgetriebe,4
4050208-9,Roboter,4
4127347-3,Brennkammer,4
4144870-4,Beschleunigung,4
4140926-7,Funknavigation,4
4802620-7,Big Data,4
7741477-9,Fahrradstation,4
4221753-2,Querdynamik,4
4155619-7,Fuhrpark,4
4187838-3,Verkehrsteilnehmer,4
4260083-2,Verkehrsknotenpunkt,4
4131397-5,Echtzeitsystem,4
4057633-4,Stochastisches Modell,4
4309013-8,Verbesserung,4
4170433-2,Mondflug,4
4016310-6,Fahrstreifen,4
4189371-2,Wegewahl,4
4129949-8,Museumsbahn,4
4038301-5,Meer,4
4191975-0,Rollkontakt,4
4138307-2,Oldtimer,4
4699512-2,Weltraumtourismus,4
4048590-0,Raumordnung,4
4016796-3,Fernerkundung,4
4014346-6,Elektronik,4
4136258-5,Unterwasserfahrzeug,4
4138189-0,Verkehrsgeografie,4
4516622-5,Wasserstoffmotor,4
4367264-4,Testen,4
4170439-3,Mondlandung,4
4124132-0,Schiffsdieselmotor,4
4277099-3,Sicherheitsgerechte Konstruktion,4
4157219-1,Getriebetechnik,4
4020807-2,Getriebe,4
4113450-3,Entwicklung,4
4352769-3,Flugerprobung,4
4135102-2,Fahrbahndecke,4
4153577-7,Fahrweg,4
4133846-7,Ladegut,4
4171529-9,Netzwerk,4
4158722-4,Hafenwirtschaft,4
4153537-6,Fahrbahn,4
4013585-8,Effizienz,4
4061226-0,Turbine,4
4112767-5,Binnenhafen,4
4168247-6,Luftfahrzeugantrieb,4
4184655-2,Telemetrie,4
4311226-2,Objektverfolgung,4
4613597-2,Bremspedal,4
4582612-2,Datenfusion,4
4044677-3,Parken,4
4143246-0,Astrodynamik,4
4220855-5,Finite-Volumen-Methode,4
4187837-1,Verkehrstechnik,4
4127484-2,Himmelsmechanik,4
4004687-4,Batterie,4
4049098-1,Reibung,4
4364380-2,Cockpit,4
1188755676,5G,4
4014360-0,Elektronisches Bauelement,4
4140216-9,Bremsung,4
4006684-8,Bildverarbeitung,4
4264283-8,Bilderkennung,4
4068497-0,Akkumulator,4
4137042-9,Risikoanalyse,4
4116564-0,Spezialschiff,4
7540075-3,MIMO,4
4129710-6,Pendelverkehr,4
4129991-7,Straßenbeleuchtung,4
4133168-0,Aerothermodynamik,4
