id,subject_name,frequency
4011882-4,Deutschland,169
4039785-3,Mobilität,89
4043176-9,Öffentlicher Personennahverkehr,56
1042006857,Elektromobilität,56
4078704-7,USA,46
4061655-1,Umweltverträglichkeit,35
4015701-5,Europa,34
4022492-2,Güterverkehr,27
4154756-1,Flugkörper,27
4209037-4,Prüfstand,24
4690080-9,Numerische Strömungssimulation,23
4332556-7,Drohne (Flugkörper),23
5098525-5,Europäische Union,18
4002360-6,Antrieb (Technik),17
4172386-7,Öffentlicher Verkehr,16
4151488-9,Eisenbahngüterverkehr,16
4034026-0,Ländlicher Raum,16
4076600-7,Regionale Mobilität,15
4009937-4,China,14
4154750-0,Flugführung,14
4278240-5,Schiffsführung,13
7737985-8,Geschäftsmodell,13
4038390-8,Mehrkörpersystem,12
4140907-3,Fußgänger,12
4183580-3,Straßengüterverkehr,12
4033447-8,Künstliche Intelligenz,12
4011889-7,Deutschland (Bundesrepublik),11
4155750-5,Fußgängerverkehr,11
4206779-0,Straßenbenutzungsgebühr,11
4164199-1,Klimaänderung,11
4164540-6,Kohlenstofffaserverstärkter Kunststoff,11
103238512X,Steuergerät,10
4005728-8,Berlin,10
4219057-5,Qualitätsmanagement,9
4011890-3,Deutschland (DDR),9
4060582-6,Tragflügel,9
4017678-2,Flugzeugführer,9
4056693-6,Stabilität,9
2294-9,USA National Aeronautics and Space Administration,9
4283942-7,Verkehrsüberwachung,9
4135548-9,Transportkette (Güterverkehr),9
4715802-5,Erweiterte Realität (Informatik),9
1117164012,Mobilität 4.0,9
4077548-3,Sowjetunion,8
4059245-5,Zuverlässigkeit,8
7725954-3,Thermomanagement (Kraftfahrzeugtechnik),8
4369492-5,Zustandsüberwachung,8
4034054-5,Lärmschutz,7
4056795-3,Städtebau,7
4430981-8,Längsdynamik,7
4185818-9,Trägerrakete,7
4023118-5,Hamburg,7
4076899-5,Russland,7
3020305-3,Deutsche Bahn AG,7
4074631-8,Materialermüdung,7
4130717-3,Körperschall,7
4026722-2,Indien,7
1151838586,Motorenprüfstand,7
4202469-9,Aeroelastizität,7
4186655-1,Überwachungseinrichtung,7
4042203-3,Niederlande,6
4172385-5,Öffentlicher Raum,6
4077970-1,Strömungsmechanik,6
4252579-2,Deutschland (Östliche Länder),6
118514652,"Von Braun, Wernher 1912-1977",6
4177066-3,Raumflugkörper,6
5157-3,OECD,6
4356791-5,GSM-Standard,6
7569134-6,Lokalisierung (Robotik),6
4158524-0,Güternahverkehr,6
4031493-5,Köln,6
4075760-2,Ostseeküste,5
4129730-1,Sensitivitätsanalyse,5
4028495-5,Japan,5
4250471-5,Umweltmodell (Informatik),5
4043271-3,Österreich,5
4077809-5,Stadtökologie,5
2111478-X,Volkswagen AG,5
4242861-0,Mecklenburg-Vorpommern,5
4052692-6,Schleswig-Holstein,5
4153553-4,Fahrgeräusch,5
4486542-9,ISS (Raumfahrt),5
4138552-4,Elektromagnetische Verträglichkeit,5
4129292-3,Geräuschminderung,5
4643241-3,Doppelhüllenschiff,5
4191815-0,Entscheidungsunterstützungssystem,5
4042570-8,Nordrhein-Westfalen,4
2007837-7,Deutsche Bundesbahn,4
4042226-4,Niedersachsen,4
4075482-0,Nordseeküste,4
4283583-5,Güterverkehrszentrum,4
4003217-6,Asien,4
4121807-3,Umströmung,4
4132734-2,Instationäre Strömung,4
4027833-5,Italien,4
4053881-3,Schweiz,4
4127793-4,München,4
4034046-6,Lärm,4
4125395-4,Hafen Hamburg (Hamburg),4
4141043-9,Abgasrückführung,4
4139407-0,Diffusion (Wirtschaft),4
1133043763,EN 9100,4
4016317-9,Fahrtüchtigkeit,4
4271836-3,Prädiktive Regelung,4
4399931-1,Virtuelle Realität,4
4496068-2,Dienstgüte,4
4144409-7,Kühler,4
4133762-1,Kältemaschine,4
4042220-3,Niederrhein,4
4063881-9,VW Käfer,4
4047610-8,Prüftechnik,4
4269925-3,Automatisches Prüfen,4
4758780-5,Videoüberwachung,4
4634625-9,Portal (Internet),4
2008004-9,Deutsche Reichsbahn,4
4141482-2,Älterer Mensch,4
4071013-0,Europäische Integration,4
